customer_id,signup_date,first_paid_date,country,acquisition_channel,company_size_bucket
1,2024-01-01,,DE,Paid Social,11-50
2,2024-01-02,2024-01-21,FR,Paid Social,11-50
3,2024-01-03,2024-01-31,DE,Paid Social,201+
4,2024-01-04,2024-01-18,NL,Referral,51-200
5,2024-01-05,2024-01-15,DE,Paid Social,11-50
6,2024-01-06,,DE,Paid Social,11-50
7,2024-01-07,2024-02-04,NL,Paid Social,1-10
8,2024-01-08,2024-01-28,DE,Paid Social,1-10
9,2024-01-09,,DE,Content,11-50
10,2024-01-10,2024-02-04,DE,Organic,1-10
11,2024-01-11,2024-01-29,DE,Referral,1-10
12,2024-01-13,2024-02-04,UK,Referral,1-10
13,2024-01-14,2024-01-24,DE,Referral,1-10
14,2024-01-15,2024-01-25,FR,Referral,11-50
15,2024-01-16,,FR,Content,51-200
16,2024-01-17,2024-02-06,NL,Outbound,1-10
17,2024-01-18,2024-01-21,DE,Paid Social,11-50
18,2024-01-19,2024-01-26,DE,Organic,51-200
19,2024-01-20,2024-02-12,ES,Paid Social,1-10
20,2024-01-21,2024-01-23,UK,Organic,51-200
21,2024-01-22,2024-02-12,UK,Referral,1-10
22,2024-01-23,2024-02-12,DE,Outbound,1-10
23,2024-01-25,2024-01-26,DE,Organic,201+
24,2024-01-26,2024-02-18,DE,Organic,1-10
25,2024-01-27,,FR,Organic,11-50
26,2024-01-28,,DE,Referral,51-200
27,2024-01-29,,UK,Referral,1-10
28,2024-01-30,2024-01-31,DE,Organic,11-50
29,2024-01-31,2024-02-27,ES,Outbound,201+
30,2024-02-01,2024-02-21,FR,Content,1-10
31,2024-02-02,2024-02-02,UK,Organic,51-200
32,2024-02-03,2024-02-14,DE,Referral,11-50
33,2024-02-05,2024-03-01,FR,Content,11-50
34,2024-02-06,,NL,Paid Social,11-50
35,2024-02-07,2024-03-06,DE,Organic,1-10
36,2024-02-08,2024-02-19,DE,Organic,51-200
37,2024-02-09,2024-03-04,ES,Organic,51-200
38,2024-02-10,2024-02-26,NL,Content,11-50
39,2024-02-11,2024-03-08,DE,Outbound,11-50
40,2024-02-12,2024-03-09,DE,Organic,11-50
41,2024-02-13,2024-02-22,FR,Organic,1-10
42,2024-02-14,2024-03-12,NL,Organic,11-50
43,2024-02-15,2024-03-13,DE,Organic,11-50
44,2024-02-17,2024-03-03,DE,Content,11-50
45,2024-02-18,2024-03-03,DE,Paid Social,11-50
46,2024-02-19,2024-03-19,FR,Paid Social,1-10
47,2024-02-20,2024-03-20,NL,Organic,1-10
48,2024-02-21,2024-03-06,DE,Referral,1-10
49,2024-02-22,2024-03-22,ES,Paid Social,1-10
50,2024-02-23,2024-03-12,FR,Referral,11-50
51,2024-02-24,2024-03-06,DE,Organic,11-50
52,2024-02-25,,DE,Content,11-50
53,2024-02-26,,DE,Referral,1-10
54,2024-02-27,2024-03-22,ES,Organic,11-50
55,2024-02-29,2024-03-02,NL,Paid Social,1-10
56,2024-03-01,,FR,Content,1-10
57,2024-03-02,2024-03-20,NL,Outbound,11-50
58,2024-03-03,2024-03-09,FR,Paid Social,51-200
59,2024-03-04,,NL,Paid Social,1-10
60,2024-03-05,2024-03-13,DE,Outbound,1-10
61,2024-03-06,2024-03-12,FR,Referral,1-10
62,2024-03-07,,DE,Organic,1-10
63,2024-03-08,2024-03-11,DE,Outbound,11-50
64,2024-03-09,2024-04-02,DE,Organic,1-10
65,2024-03-11,2024-04-07,DE,Referral,11-50
66,2024-03-12,2024-03-25,DE,Organic,1-10
67,2024-03-13,,DE,Organic,1-10
68,2024-03-14,2024-04-08,ES,Paid Social,1-10
69,2024-03-15,2024-03-23,DE,Content,1-10
70,2024-03-16,2024-04-10,DE,Organic,1-10
71,2024-03-17,2024-04-06,UK,Organic,1-10
72,2024-03-18,2024-03-19,UK,Organic,51-200
73,2024-03-19,2024-04-07,DE,Paid Social,1-10
74,2024-03-20,2024-04-16,FR,Outbound,201+
75,2024-03-21,2024-04-04,NL,Paid Social,1-10
76,2024-03-23,2024-04-19,DE,Referral,51-200
77,2024-03-24,,ES,Content,11-50
78,2024-03-25,2024-04-05,UK,Paid Social,11-50
79,2024-03-26,2024-04-23,DE,Organic,11-50
80,2024-03-27,2024-04-03,DE,Organic,11-50
81,2024-03-28,2024-04-11,ES,Paid Social,11-50
