touch_id,customer_id,touch_type,touch_date,outcome,sales_rep
TCH_000001,CUST_0001,call,2024-07-07,positive,Rep_15
TCH_000002,CUST_0001,email,2024-11-26,neutral,Rep_10
TCH_000003,CUST_0001,email,2024-10-21,positive,Rep_09
TCH_000004,CUST_0001,support_ticket,2024-07-21,positive,Rep_03
TCH_000005,CUST_0001,qbr,2024-06-22,positive,Rep_09
TCH_000006,CUST_0001,qbr,2024-10-01,positive,Rep_12
TCH_000007,CUST_0002,call,2023-11-09,neutral,Rep_06
TCH_000008,CUST_0002,call,2024-09-02,neutral,Rep_13
TCH_000009,CUST_0002,demo,2023-12-03,positive,Rep_02
TCH_000010,CUST_0003,email,2024-08-18,no_response,Rep_03
TCH_000011,CUST_0003,meeting,2024-11-29,positive,Rep_12
TCH_000012,CUST_0003,demo,2024-05-06,neutral,Rep_11
TCH_000013,CUST_0004,demo,2024-03-30,positive,Rep_01
TCH_000014,CUST_0004,email,2024-08-04,neutral,Rep_15
TCH_000015,CUST_0004,email,2024-10-24,positive,Rep_06
TCH_000016,CUST_0004,qbr,2024-08-13,positive,Rep_01
TCH_000017,CUST_0004,meeting,2024-08-11,no_response,Rep_09
TCH_000018,CUST_0005,support_ticket,2024-12-10,neutral,Rep_06
TCH_000019,CUST_0005,demo,2024-05-02,neutral,Rep_11
TCH_000020,CUST_0005,email,2024-11-03,neutral,Rep_10
TCH_000021,CUST_0005,qbr,2024-06-27,positive,Rep_11
TCH_000022,CUST_0005,call,2024-06-02,positive,Rep_15
TCH_000023,CUST_0006,webinar,2024-11-18,neutral,Rep_06
TCH_000024,CUST_0006,email,2024-10-28,positive,Rep_06
TCH_000025,CUST_0006,webinar,2024-12-18,positive,Rep_02
TCH_000026,CUST_0007,qbr,2024-05-25,neutral,Rep_13
TCH_000027,CUST_0007,call,2024-02-03,positive,Rep_06
TCH_000028,CUST_0007,qbr,2024-04-10,no_response,Rep_12
TCH_000029,CUST_0007,support_ticket,2024-08-12,neutral,Rep_08
TCH_000030,CUST_0007,qbr,2024-09-23,no_response,Rep_13
TCH_000031,CUST_0007,call,2024-12-10,neutral,Rep_04
TCH_000032,CUST_0007,support_ticket,2024-06-24,neutral,Rep_11
TCH_000033,CUST_0008,call,2023-11-07,positive,Rep_10
TCH_000034,CUST_0008,demo,2023-12-13,positive,Rep_12
TCH_000035,CUST_0008,call,2024-12-09,neutral,Rep_10
TCH_000036,CUST_0008,email,2024-02-05,positive,Rep_12
TCH_000037,CUST_0008,meeting,2024-12-29,no_response,Rep_15
TCH_000038,CUST_0009,support_ticket,2024-08-19,positive,Rep_05
TCH_000039,CUST_0009,demo,2024-12-16,neutral,Rep_09
TCH_000040,CUST_0009,qbr,2024-12-03,neutral,Rep_09
TCH_000041,CUST_0010,call,2024-05-31,neutral,Rep_13
TCH_000042,CUST_0010,support_ticket,2024-09-23,neutral,Rep_13
TCH_000043,CUST_0010,demo,2024-09-06,no_response,Rep_15
TCH_000044,CUST_0010,meeting,2024-05-19,neutral,Rep_15
TCH_000045,CUST_0010,webinar,2024-02-10,neutral,Rep_07
TCH_000046,CUST_0010,email,2024-02-03,neutral,Rep_12
TCH_000047,CUST_0010,qbr,2023-09-16,positive,Rep_15
TCH_000048,CUST_0011,support_ticket,2024-08-06,neutral,Rep_06
TCH_000049,CUST_0011,qbr,2024-10-26,positive,Rep_14
TCH_000050,CUST_0011,meeting,2024-06-02,neutral,Rep_11
TCH_000051,CUST_0011,call,2024-07-08,neutral,Rep_08
TCH_000052,CUST_0012,meeting,2024-11-12,positive,Rep_10
TCH_000053,CUST_0012,qbr,2024-08-22,positive,Rep_12
TCH_000054,CUST_0012,qbr,2024-06-04,positive,Rep_11
TCH_000055,CUST_0012,demo,2024-07-09,positive,Rep_03
TCH_000056,CUST_0013,qbr,2024-05-07,positive,Rep_11
TCH_000057,CUST_0013,demo,2023-12-05,positive,Rep_13
TCH_000058,CUST_0013,call,2024-07-23,neutral,Rep_10
TCH_000059,CUST_0013,demo,2024-09-16,negative,Rep_11
TCH_000060,CUST_0014,meeting,2024-10-07,positive,Rep_02
TCH_000061,CUST_0014,email,2024-07-09,positive,Rep_07
TCH_000062,CUST_0014,meeting,2024-08-07,neutral,Rep_09
TCH_000063,CUST_0014,qbr,2024-06-30,neutral,Rep_07
TCH_000064,CUST_0014,email,2024-01-09,positive,Rep_14
TCH_000065,CUST_0014,email,2024-01-30,positive,Rep_12
TCH_000066,CUST_0015,webinar,2024-09-04,positive,Rep_15
TCH_000067,CUST_0015,call,2024-12-06,no_response,Rep_14
TCH_000068,CUST_0015,call,2024-08-06,neutral,Rep_11
TCH_000069,CUST_0016,webinar,2024-03-07,no_response,Rep_15
