touch_id,customer_id,touch_date,touch_type,sales_rep_id,outcome
1,1,2024-01-01,Email,3,Meeting Scheduled
2,1,2024-01-29,Call,10,Connected
3,1,2024-02-26,Call,9,Connected
4,1,2024-03-25,Call,8,Connected
5,1,2024-04-22,Demo,5,Connected
6,1,2024-05-20,Email,3,Connected
7,1,2024-06-17,Email,5,Connected
8,1,2024-07-15,Call,3,No Response
9,1,2024-08-12,Email,7,Opportunity
10,1,2024-09-09,Email,1,Connected
11,1,2024-10-07,Call,5,Connected
12,1,2024-11-04,Email,5,Connected
13,1,2024-12-02,Call,5,No Response
14,1,2024-12-31,Email,5,Meeting Scheduled
15,3,2024-01-03,Call,8,Connected
16,3,2024-01-27,Call,4,Opportunity
17,3,2024-02-20,Call,1,No Response
18,3,2024-03-16,Call,1,Opportunity
19,3,2024-04-09,Call,6,Connected
20,3,2024-05-03,Email,5,Meeting Scheduled
21,3,2024-05-28,Demo,5,Meeting Scheduled
22,3,2024-06-21,Email,8,Connected
23,3,2024-07-15,Call,4,Connected
24,3,2024-08-09,Demo,3,No Response
25,3,2024-09-02,Call,10,Connected
26,3,2024-09-26,Call,8,Connected
27,3,2024-10-21,Demo,1,Opportunity
28,3,2024-11-14,Email,4,Connected
29,3,2024-12-08,Email,3,No Response
30,3,2025-01-02,Check-in,9,No Response
31,4,2024-01-04,Email,7,Connected
32,4,2024-02-06,Email,6,Connected
33,4,2024-03-10,Call,4,Connected
34,4,2024-04-12,Demo,4,Connected
35,4,2024-05-15,Call,5,Opportunity
36,4,2024-06-17,Email,8,No Response
37,4,2024-07-21,Demo,7,No Response
38,4,2024-08-23,Demo,10,No Response
39,4,2024-09-25,Demo,7,No Response
40,4,2024-10-28,Demo,2,Meeting Scheduled
41,4,2024-11-30,Email,3,Connected
42,4,2025-01-03,Check-in,6,Connected
43,5,2024-01-05,Call,2,Connected
44,5,2024-04-05,Email,10,Connected
45,5,2024-07-05,Call,6,Connected
46,5,2024-10-04,Demo,1,No Response
47,5,2025-01-04,Demo,1,Connected
48,6,2024-01-06,Demo,1,Meeting Scheduled
49,6,2024-03-06,Check-in,10,No Response
50,6,2024-05-06,Email,1,Connected
51,6,2024-07-06,Demo,8,Connected
52,6,2024-09-05,Email,9,Connected
53,6,2024-11-05,Call,8,No Response
54,6,2025-01-05,Call,6,Meeting Scheduled
55,7,2024-01-07,Call,8,No Response
56,7,2024-01-28,Check-in,2,No Response
57,7,2024-02-18,Email,8,Connected
58,7,2024-03-11,Email,6,Meeting Scheduled
59,7,2024-04-01,Check-in,9,Meeting Scheduled
60,7,2024-04-23,Call,5,No Response
61,7,2024-05-14,Demo,3,Connected
62,7,2024-06-05,Call,2,Meeting Scheduled
63,7,2024-06-26,Email,5,Connected
64,7,2024-07-18,Demo,9,Opportunity
65,7,2024-08-08,Check-in,5,No Response
66,7,2024-08-30,Call,7,Meeting Scheduled
67,7,2024-09-20,Call,9,Connected
68,7,2024-10-12,Email,4,No Response
69,7,2024-11-02,Email,1,Connected
70,7,2024-11-24,Email,7,No Response
71,7,2024-12-15,Call,4,Meeting Scheduled
72,7,2025-01-06,Demo,8,Meeting Scheduled
73,8,2024-01-08,Email,4,Connected
74,8,2024-02-17,Email,3,Opportunity
75,8,2024-03-29,Check-in,5,Connected
76,8,2024-05-08,Demo,6,Meeting Scheduled
77,8,2024-06-18,Email,3,No Response
78,8,2024-07-28,Demo,9,No Response
79,8,2024-09-07,Call,10,Opportunity
80,8,2024-10-17,Demo,7,Meeting Scheduled
