event_id,customer_id,event_date,feature_category,event_count
1,1,2024-01-01,Admin,1
2,1,2024-02-08,Reporting,10
3,1,2024-03-18,Integration,10
4,1,2024-04-25,Integration,12
5,1,2024-06-03,Core,11
6,1,2024-07-11,Admin,11
7,1,2024-08-19,Admin,3
8,1,2024-09-27,Core,10
9,1,2024-11-04,Integration,2
10,1,2024-12-13,Integration,2
11,1,2025-01-20,Reporting,6
12,1,2025-02-28,Core,10
13,1,2025-04-07,Reporting,8
14,1,2025-05-16,Core,9
15,1,2025-06-24,Reporting,15
16,2,2024-01-02,Reporting,13
17,2,2024-01-03,Reporting,18
18,2,2024-01-04,Core,9
19,2,2024-01-05,Admin,2
20,2,2024-01-06,Core,9
21,2,2024-01-07,Core,9
22,2,2024-01-08,Reporting,2
23,2,2024-01-10,Integration,7
24,2,2024-01-11,Reporting,1
25,2,2024-01-12,Reporting,4
26,2,2024-01-13,Core,2
27,2,2024-01-14,Reporting,14
28,2,2024-01-15,Core,15
29,2,2024-01-16,Integration,7
30,2,2024-01-18,Reporting,10
31,2,2024-01-19,Reporting,5
32,2,2024-01-20,Reporting,14
33,2,2024-01-21,Integration,12
34,2,2024-01-22,Core,6
35,2,2024-01-23,Reporting,4
36,2,2024-01-25,Reporting,16
37,2,2024-01-26,Admin,1
38,2,2024-01-27,Integration,18
39,2,2024-01-28,Reporting,13
40,2,2024-01-29,Core,5
41,2,2024-01-30,Reporting,8
42,2,2024-01-31,Core,7
43,2,2024-02-02,Core,6
44,2,2024-02-03,Reporting,17
45,2,2024-02-04,Reporting,14
46,2,2024-02-05,Core,14
47,2,2024-02-06,Core,12
48,2,2024-02-07,Admin,15
49,2,2024-02-08,Core,5
50,2,2024-02-10,Core,8
51,2,2024-02-11,Core,14
52,2,2024-02-12,Core,1
53,2,2024-02-13,Core,3
54,2,2024-02-14,Core,19
55,2,2024-02-15,Core,8
56,2,2024-02-17,Integration,3
57,2,2024-02-18,Integration,6
58,2,2024-02-19,Integration,2
59,2,2024-02-20,Reporting,8
60,2,2024-02-21,Core,12
61,2,2024-02-22,Core,11
62,2,2024-02-23,Integration,11
63,2,2024-02-25,Reporting,16
64,2,2024-02-26,Admin,14
65,2,2024-02-27,Core,15
66,2,2024-02-28,Core,2
67,2,2024-02-29,Reporting,6
68,2,2024-03-01,Reporting,16
69,2,2024-03-03,Core,3
70,2,2024-03-04,Reporting,5
71,2,2024-03-05,Reporting,12
72,2,2024-03-06,Reporting,9
73,2,2024-03-07,Integration,19
74,2,2024-03-08,Core,6
75,2,2024-03-09,Core,11
76,2,2024-03-11,Core,15
77,2,2024-03-12,Reporting,11
78,2,2024-03-13,Core,8
79,2,2024-03-14,Admin,16
80,2,2024-03-15,Core,11
81,2,2024-03-16,Core,9
82,2,2024-03-17,Core,19
83,2,2024-03-19,Integration,19
